#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
2765;42.907;0.4302;RCP4.5;H1;0.04;1;
2766;42.9087;0.5279;RCP4.5;H1;0.09;1;
2767;42.9103;0.6257;RCP4.5;H1;0.35;2;
2768;42.9118;0.7234;RCP4.5;H1;0.5;1;
2769;42.9133;0.8211;RCP4.5;H1;0.17;1;
2770;42.9146;0.9189;RCP4.5;H1;0.56;2;
2771;42.9159;1.0166;RCP4.5;H1;1.36;2;
2772;42.917;1.1144;RCP4.5;H1;0.89;2;
2773;42.9181;1.2122;RCP4.5;H1;1.57;2;
2774;42.9191;1.3099;RCP4.5;H1;1;2;
2775;42.92;1.4077;RCP4.5;H1;0.43;1;
2776;42.9208;1.5055;RCP4.5;H1;0.18;3;
2777;42.9215;1.6032;RCP4.5;H1;0.69;4;
2778;42.9221;1.701;RCP4.5;H1;0.9;4;
2779;42.9227;1.7988;RCP4.5;H1;0.7;8;
2780;42.9231;1.8966;RCP4.5;H1;1.53;10;
2781;42.9235;1.9943;RCP4.5;H1;1.5;9;
2782;42.9237;2.0921;RCP4.5;H1;2.1;11;
2783;42.9239;2.1899;RCP4.5;H1;3.85;20;
2784;42.924;2.2877;RCP4.5;H1;3.31;18;
2785;42.924;2.3855;RCP4.5;H1;1.73;11;
2786;42.9239;2.4833;RCP4.5;H1;1.44;13;
2787;42.9237;2.581;RCP4.5;H1;1.98;17;
2788;42.9235;2.6788;RCP4.5;H1;2.75;21;
2789;42.9231;2.7766;RCP4.5;H1;2.88;32;
2790;42.9227;2.8744;RCP4.5;H1;2.38;31;
2791;42.9221;2.9722;RCP4.5;H1;5.13;48;
2792;42.9215;3.0699;RCP4.5;H1;7.37;54;
2853;42.7147;9.0185;RCP4.5;H1;1.58;72;
2854;42.7086;9.1156;RCP4.5;H1;1.21;63;
2855;42.7023;9.2127;RCP4.5;H1;1.83;70;
